Time of Scraping,Price,Price Change Since Last,24h Low,24h High,24h Avg Price,Market Cap,24h Trading Volume,Circulating Supply,1h Price Change %,24h Price Change %,7d Price Change %,hour,dayofweek,day,month
2025-04-06 11:52:55,82899.69,29.180000000007567,82394.91,83853.69,83124.3,1645343307306.0,12914961324.0,19847400.0,0.2,0.7,0.2,11,6,6,4
2025-04-06 11:53:52,82899.69,0.0,82394.91,83853.69,83124.3,1645343307306.0,12254446769.0,19847400.0,0.2,0.7,0.2,11,6,6,4
2025-04-06 12:18:37,82927.66,27.970000000001164,82394.91,83853.69,83124.3,1645826512106.0,14058946583.0,19847400.0,0.1,0.9,0.5,12,6,6,4
2025-04-06 12:37:55,83021.42,93.75999999999476,82394.91,83853.69,83124.3,1647759311461.0,13422289687.0,19847400.0,0.2,0.8,0.4,12,6,6,4
2025-04-06 12:51:34,83064.85,43.43000000000757,82394.91,83853.69,83124.3,1648621383280.0,13133061058.0,19847400.0,0.2,0.8,0.3,12,6,6,4
2025-04-06 13:19:45,82885.09,-179.7600000000093,82394.91,83721.56,83058.235,1645053515419.0,12300086440.0,19847400.0,0.2,1.2,0.7,13,6,6,4
2025-04-06 13:41:10,82747.5,-137.5899999999965,82394.91,83668.03,83031.47,1642322791042.0,13220269815.0,19847400.0,0.4,1.0,0.8,13,6,6,4
2025-04-06 13:51:49,82791.53,44.029999999998836,82394.91,83668.03,83031.47,1643196592675.0,13812545382.0,19847400.0,0.3,0.9,0.8,13,6,6,4
2025-04-06 14:15:14,82770.14,-21.389999999999418,82394.91,83668.03,83031.47,1642772017094.0,13895417568.0,19847400.0,0.1,1.0,0.4,14,6,6,4
2025-04-06 14:26:47,82681.77,-88.36999999999534,82394.91,83668.03,83031.47,1641018241288.0,13190116284.0,19847400.0,0.1,1.2,0.5,14,6,6,4
2025-04-06 14:38:36,82649.57,-32.19999999999709,82394.91,83668.03,83031.47,1640379055771.0,13858420037.0,19847400.0,0.1,1.0,0.6,14,6,6,4
2025-04-06 14:51:15,82703.5,53.929999999993015,82394.91,83668.03,83031.47,1641449525290.0,11988864493.0,19847400.0,0.1,0.9,0.5,14,6,6,4
2025-04-06 15:35:15,82768.75,65.25,82394.91,83668.03,83031.47,1642744429208.0,13882340830.0,19847400.0,0.1,0.7,0.4,15,6,6,4
2025-04-06 16:04:05,82655.15,-113.60000000000582,82394.91,83668.03,83031.47,1640222757496.0,12430042890.0,19847400.0,0.3,0.8,0.5,16,6,6,4
2025-04-06 16:32:12,82501.5,-153.64999999999418,82394.91,83668.03,83031.47,1637440350490.0,13231159541.0,19847400.0,0.3,0.3,0.7,16,6,6,4
2025-04-06 16:51:30,82325.2,-176.3000000000029,82394.91,83668.03,83031.47,1633941214175.0,13545691060.0,19847400.0,0.5,0.1,0.9,16,6,6,4
2025-04-06 17:16:53,82594.05,268.8500000000058,82218.88,83668.03,82943.455,1639282784213.0,12712820855.0,19847468.0,0.0,0.2,0.1,17,6,6,4
2025-04-06 17:38:55,82424.88,-169.16999999999825,82218.88,83668.03,82943.455,1635925168204.0,13849122152.0,19847468.0,0.1,0.6,0.4,17,6,6,4
2025-04-06 17:51:41,82618.9,194.01999999998952,82218.88,83668.03,82943.455,1639775894555.0,14023362567.0,19847468.0,0.5,0.3,0.1,17,6,6,4
2025-04-06 18:18:01,82497.88,-121.01999999998952,82218.88,83668.03,82943.455,1637377148440.0,14250886201.0,19847506.0,0.1,0.2,0.3,18,6,6,4
2025-04-06 18:37:42,82480.47,-17.410000000003492,82218.88,83668.03,82943.455,1637031662903.0,13640088756.0,19847506.0,0.0,0.1,0.4,18,6,6,4
2025-04-06 18:51:18,82656.24,175.77000000000407,82218.88,83668.03,82943.455,1640520278880.0,12574058670.0,19847506.0,0.0,0.2,0.2,18,6,6,4
2025-04-06 19:21:31,82364.26,-291.9800000000105,82218.88,83668.03,82943.455,1634726033669.0,14106565561.0,19847518.0,0.2,0.3,0.4,19,6,6,4
2025-04-06 19:43:00,82301.33,-62.929999999993015,82218.88,83668.03,82943.455,1633477088904.0,12520688978.0,19847518.0,0.4,0.6,0.5,19,6,6,4
2025-04-06 19:54:04,82059.23,-242.10000000000582,82098.54,83668.03,82883.285,1628672044491.0,14241805996.0,19847518.0,0.6,0.7,0.8,19,6,6,4
2025-04-06 20:15:47,81695.46,-363.7699999999895,81853.71,83668.03,82760.87,1621453890321.0,15183194621.0,19847540.0,0.9,1.3,0.7,20,6,6,4
2025-04-06 20:38:58,81404.07,-291.3899999999994,81353.99,83668.03,82511.01000000001,1615670555335.0,14446926186.0,19847540.0,1.1,1.8,1.1,20,6,6,4
2025-04-06 20:51:16,81181.41,-222.6600000000035,81182.07,83668.03,82425.05,1611251262384.0,16841546892.0,19847540.0,1.2,2.1,1.3,20,6,6,4
2025-04-06 21:24:38,79895.47,-1285.9400000000023,79902.16,83668.03,81785.095,1585729515742.0,18319782633.0,19847553.0,2.4,3.6,3.3,21,6,6,4
2025-04-06 21:43:41,79490.2,-405.2700000000041,79434.84,83668.03,81551.435,1577685957481.0,19882177475.0,19847553.0,2.1,4.2,3.7,21,6,6,4
2025-04-06 21:54:26,78788.92,-701.2799999999988,78882.09,83668.03,81275.06,1563769215388.0,20814364098.0,19847578.0,2.2,5.2,4.6,21,6,6,4
2025-04-06 22:14:20,79159.06,370.1399999999994,78882.09,83668.03,81275.06,1571115677299.0,22329524852.0,19847578.0,1.3,4.7,4.3,22,6,6,4
2025-04-06 22:25:33,79555.23,396.16999999999825,78882.09,83668.03,81275.06,1578978672428.0,22912014282.0,19847578.0,0.7,4.4,3.9,22,6,6,4
2025-04-06 22:38:45,79668.26,113.02999999999884,78882.09,83668.03,81275.06,1581222083865.0,23583816847.0,19847578.0,0.3,3.9,3.7,22,6,6,4
2025-04-06 22:51:24,79148.07,-520.1899999999878,78882.09,83668.03,81275.06,1570897413484.0,24012742619.0,19847578.0,0.3,4.4,4.4,22,6,6,4
2025-04-06 23:19:56,79348.04,199.9699999999866,78882.09,83668.03,81275.06,1574868238094.0,24625983143.0,19847600.0,0.5,4.3,3.8,23,6,6,4
