Time of Scraping,Price,24h Range (High/Low),Market Cap,24h Trading Volume,Circulating Supply,1h Price Change %,24h Price Change %,7d Price Change %
2025-04-06 01:08:20,"$1,792.89","$1,778.36 - $1,826.05","$216,236,571,372","$6,929,905,829","120,669,506",0.4%,1.4%,1.2%
2025-04-07 01:32:29,"$1,596.99","$1,574.85 - $1,813.53","$192,829,807,024","$21,137,790,934","120,672,033",0.7%,10.9%,11.5%
2025-04-08 18:16:39,"$1,473.86","$1,460.84 - $1,607.67","$178,052,941,956","$21,080,321,102","120,676,170",0.3%,5.3%,23.2%
2025-04-08 18:23:33,"$1,477.65","$1,460.84 - $1,607.67","$178,178,691,157","$21,069,123,743","120,676,170",0.8%,5.6%,23.0%
2025-04-08 18:47:34,"$1,479.46","$1,460.84 - $1,607.67","$178,682,897,040","$21,586,086,532","120,676,170",0.6%,5.1%,22.9%
2025-04-08 19:15:11,"$1,467.45","$1,460.84 - $1,607.67","$177,373,847,636","$21,594,294,178","120,676,170",0.4%,4.9%,23.1%
2025-04-08 19:27:31,"$1,466.27","$1,460.84 - $1,607.67","$176,835,735,893","$21,096,163,342","120,676,170",0.9%,5.2%,23.2%
2025-04-08 19:50:39,"$1,459.39","$1,460.53 - $1,607.67","$176,158,897,897","$21,582,500,441","120,676,170",1.3%,5.7%,23.5%
2025-04-08 20:19:36,"$1,466.38","$1,459.80 - $1,607.67","$176,889,948,763","$21,411,650,891","120,676,170",0.2%,6.0%,23.1%
2025-04-08 20:40:39,"$1,472.87","$1,459.80 - $1,607.67","$177,431,337,559","$21,781,489,958","120,676,170",0.7%,6.2%,22.8%
2025-04-08 20:50:57,"$1,477.71","$1,459.80 - $1,607.67","$178,174,051,849","$20,428,675,617","120,676,170",1.2%,6.1%,22.5%
2025-04-08 21:16:44,"$1,474.42","$1,459.80 - $1,607.67","$177,942,126,708","$21,596,949,664","120,676,170",0.6%,6.0%,22.9%
2025-04-08 21:38:13,"$1,471.88","$1,459.80 - $1,607.67","$177,348,935,224","$21,643,308,310","120,676,170",0.2%,5.6%,23.1%
2025-04-08 21:50:42,"$1,472.93","$1,459.80 - $1,607.67","$177,738,223,569","$19,714,903,880","120,676,170",0.3%,5.9%,23.0%
2025-04-08 22:16:26,"$1,464.33","$1,459.80 - $1,607.67","$176,704,620,369","$19,367,013,004","120,676,170",0.7%,7.1%,23.5%
2025-04-08 22:40:47,"$1,454.92","$1,457.02 - $1,607.67","$175,573,547,732","$22,008,001,617","120,676,170",1.2%,8.0%,24.0%
2025-04-08 22:50:28,"$1,456.46","$1,455.32 - $1,607.67","$175,836,928,393","$21,540,049,056","120,676,170",1.2%,7.9%,23.9%
