Time of Scraping,Price,Price Change Since Last,24h Low,24h High,24h Avg Price,Market Cap,24h Trading Volume,Circulating Supply,1h Price Change %,24h Price Change %,7d Price Change %
2025-04-06 01:08:20,1792.89,,1778.36,1826.05,1802.205,216236571372.0,6929905829.0,120669506.0,0.4,1.4,1.2
2025-04-07 01:32:29,1596.99,-195.9000000000001,1574.85,1813.53,1694.19,192829807024.0,21137790934.0,120672033.0,0.7,10.9,11.5
2025-04-08 18:16:39,1473.86,-123.13000000000011,1460.84,1607.67,1534.255,178052941956.0,21080321102.0,120676170.0,0.3,5.3,23.2
2025-04-08 18:23:33,1477.65,3.790000000000191,1460.84,1607.67,1534.255,178178691157.0,21069123743.0,120676170.0,0.8,5.6,23.0
2025-04-08 18:47:34,1479.46,1.8099999999999454,1460.84,1607.67,1534.255,178682897040.0,21586086532.0,120676170.0,0.6,5.1,22.9
2025-04-08 19:15:11,1467.45,-12.009999999999991,1460.84,1607.67,1534.255,177373847636.0,21594294178.0,120676170.0,0.4,4.9,23.1
2025-04-08 19:27:31,1466.27,-1.1800000000000637,1460.84,1607.67,1534.255,176835735893.0,21096163342.0,120676170.0,0.9,5.2,23.2
2025-04-08 19:50:39,1459.39,-6.879999999999882,1460.53,1607.67,1534.1,176158897897.0,21582500441.0,120676170.0,1.3,5.7,23.5
2025-04-08 20:19:36,1466.38,6.990000000000009,1459.8,1607.67,1533.7350000000001,176889948763.0,21411650891.0,120676170.0,0.2,6.0,23.1
2025-04-08 20:40:39,1472.87,6.489999999999782,1459.8,1607.67,1533.7350000000001,177431337559.0,21781489958.0,120676170.0,0.7,6.2,22.8
2025-04-08 20:50:57,1477.71,4.8400000000001455,1459.8,1607.67,1533.7350000000001,178174051849.0,20428675617.0,120676170.0,1.2,6.1,22.5
2025-04-08 21:16:44,1474.42,-3.2899999999999636,1459.8,1607.67,1533.7350000000001,177942126708.0,21596949664.0,120676170.0,0.6,6.0,22.9
2025-04-08 21:38:13,1471.88,-2.5399999999999636,1459.8,1607.67,1533.7350000000001,177348935224.0,21643308310.0,120676170.0,0.2,5.6,23.1
2025-04-08 21:50:42,1472.93,1.0499999999999545,1459.8,1607.67,1533.7350000000001,177738223569.0,19714903880.0,120676170.0,0.3,5.9,23.0
2025-04-08 22:16:26,1464.33,-8.600000000000136,1459.8,1607.67,1533.7350000000001,176704620369.0,19367013004.0,120676170.0,0.7,7.1,23.5
2025-04-08 22:40:47,1454.92,-9.409999999999854,1457.02,1607.67,1532.345,175573547732.0,22008001617.0,120676170.0,1.2,8.0,24.0
2025-04-08 22:50:28,1456.46,1.5399999999999636,1455.32,1607.67,1531.495,175836928393.0,21540049056.0,120676170.0,1.2,7.9,23.9
2025-04-08 23:16:34,1466.52,10.059999999999945,1455.32,1607.67,1531.495,176825929116.0,22193828077.0,120676170.0,0.1,6.8,23.3
2025-04-08 23:37:38,1472.22,5.7000000000000455,1455.32,1607.67,1531.495,177493515817.0,20913041025.0,120676170.0,1.0,5.7,23.0
2025-04-08 23:50:36,1471.31,-0.9100000000000819,1455.32,1607.67,1531.495,177564922723.0,22405237280.0,120676170.0,1.0,5.6,23.0
2025-04-09 01:20:40,1432.73,-38.57999999999993,1439.77,1607.67,1523.72,173297150764.0,23297190020.0,120676170.0,2.7,7.7,24.1
2025-04-09 02:49:21,1427.96,-4.769999999999982,1398.62,1598.42,1498.52,172634511512.0,24819264291.0,120678504.0,0.1,10.2,24.6
2025-04-09 03:32:08,1417.87,-10.090000000000146,1398.62,1598.42,1498.52,171103418504.0,25213258689.0,120678504.0,1.5,10.7,24.6
2025-04-09 04:20:46,1434.01,16.1400000000001,1398.62,1598.42,1498.52,172881359417.0,24186960678.0,120678504.0,1.0,9.8,23.7
2025-04-09 04:44:41,1440.29,6.279999999999973,1398.62,1598.42,1498.52,173557029997.0,22510374244.0,120678504.0,1.7,9.8,23.4
2025-04-09 04:55:15,1441.27,0.9800000000000182,1398.62,1598.42,1498.52,173969712149.0,26417687703.0,120678504.0,1.6,9.8,23.3
