Time of Scraping,Price,Price Change Since Last,24h Low,24h High,24h Avg Price,Market Cap,24h Trading Volume,Circulating Supply,1h Price Change %,24h Price Change %,7d Price Change %,Target,Target_Class,RF_Predicted,NB_Class_Predicted
2025-04-12 17:15:22,1636.61,-8.150000000000091,1549.05,1661.19,1605.12,197783293574.0,11958521727.0,120685534.0,1.1,4.5,8.3,1649.8,2,1643.5237000000002,2
2025-04-12 17:32:58,1637.58,0.9700000000000272,1549.05,1661.19,1605.12,197618229809.0,12055349423.0,120685534.0,1.0,4.6,8.2,1647.37,2,1643.3194000000003,2
2025-04-12 17:50:24,1636.25,-1.3299999999999272,1549.05,1661.19,1605.12,197608917212.0,11904186798.0,120685534.0,0.6,3.4,8.3,1646.3,2,1638.6590000000003,2
2025-04-12 18:21:23,1639.75,3.5,1549.05,1661.19,1605.12,197683717510.0,11654345679.0,120685534.0,0.3,4.2,8.2,1639.11,2,1640.7086,2
2025-04-12 18:43:36,1644.46,4.710000000000036,1549.05,1661.19,1605.12,198313573354.0,11550726426.0,120685534.0,0.3,4.8,8.0,1638.68,2,1642.0306999999996,2
2025-04-12 18:54:04,1649.8,5.339999999999918,1549.05,1661.19,1605.12,198827456935.0,11627575724.0,120685534.0,0.9,5.4,7.7,1644.26,2,1643.5921000000005,2
2025-04-12 19:14:03,1647.37,-2.430000000000064,1549.05,1661.19,1605.12,198956460395.0,11231378635.0,120685534.0,0.6,5.0,8.1,1648.81,2,1642.0149000000001,2
2025-04-12 19:26:12,1646.3,-1.0699999999999363,1549.05,1661.19,1605.12,198722104334.0,11173242333.0,120685534.0,0.3,4.8,8.2,1651.43,2,1643.0034,2
2025-04-12 19:37:39,1639.11,-7.190000000000055,1549.05,1661.19,1605.12,197877546105.0,11594704868.0,120685534.0,0.3,4.6,8.6,1649.46,2,1640.5925999999997,2
2025-04-12 19:50:32,1638.68,-0.4299999999998363,1549.05,1661.19,1605.12,197796489684.0,11348400324.0,120685534.0,0.6,4.7,8.6,1651.36,2,1639.6171000000002,2
2025-04-12 20:18:27,1644.26,5.579999999999927,1549.05,1661.19,1605.12,198486848886.0,11648283507.0,120685534.0,0.2,5.1,7.8,1649.88,2,1640.4034,2
2025-04-12 20:37:47,1648.81,4.5499999999999545,1549.05,1661.19,1605.12,198809435010.0,11391165449.0,120685534.0,0.6,5.0,7.5,1650.32,2,1638.0392000000006,2
2025-04-12 20:50:42,1651.43,2.6200000000001182,1549.05,1661.19,1605.12,199400419723.0,11817961719.0,120685534.0,0.7,5.0,7.4,1649.86,2,1637.2555000000007,2
2025-04-12 21:15:03,1649.46,-1.9700000000000275,1549.05,1661.19,1605.12,199034421366.0,11500997399.0,120685534.0,0.3,4.6,7.8,1650.0,2,1642.1772000000003,2
2025-04-12 21:28:53,1651.36,1.899999999999864,1549.05,1661.19,1605.12,199308623205.0,11498705707.0,120685534.0,0.3,4.6,7.7,1650.89,2,1642.4406000000008,2
2025-04-12 21:39:47,1649.88,-1.4799999999997908,1549.05,1661.19,1605.12,199113715047.0,11328838121.0,120685534.0,0.1,5.0,7.8,1648.39,2,1644.2849,2
2025-04-12 21:50:38,1650.32,0.4399999999998272,1549.05,1661.19,1605.12,199152287948.0,11418794823.0,120685534.0,0.1,5.1,7.8,1627.87,2,1644.2849,2
2025-04-12 22:15:40,1649.86,-0.4600000000000364,1549.05,1661.19,1605.12,199098264559.0,11378805316.0,120685534.0,0.0,5.1,8.0,1622.67,2,1646.1531,2
2025-04-12 22:34:19,1650.0,0.1400000000001,1549.05,1661.19,1605.12,199136747362.0,11390314411.0,120685534.0,0.0,5.1,8.0,1606.6,2,1646.1531,2
2025-04-12 22:50:23,1650.89,0.8900000000001,1549.05,1661.19,1605.12,199272253874.0,11431891734.0,120685534.0,0.0,5.2,7.9,1610.95,2,1644.4744000000005,2
